lat,long,time
12.99161501,80.23658085,2023-05-13T13:53:08.242Z,-127
12.99161501,80.23658085,2023-05-13T13:53:08.242Z,-127
12.99161501,80.23658085,2023-05-13T13:53:08.242Z,-127
12.99163432,80.23651975,2023-05-13T13:54:09.549Z,-127
12.99163432,80.23651975,2023-05-13T13:54:09.549Z,-127
12.99163432,80.23651975,2023-05-13T13:54:09.549Z,-127
12.99162805,80.23654256,2023-05-13T13:55:12.000Z,-127
12.99162805,80.23654256,2023-05-13T13:55:12.000Z,-127
12.99162805,80.23654256,2023-05-13T13:55:12.000Z,-127
12.99156911,80.23655142,2023-05-13T13:56:12.729Z,-127
12.99156911,80.23655142,2023-05-13T13:56:12.729Z,-127
12.99156911,80.23655142,2023-05-13T13:56:12.729Z,-127
12.99161179,80.23653649,2023-05-13T13:57:14.024Z,-127
12.99161179,80.23653649,2023-05-13T13:57:14.024Z,-127
